année,pop_id,cat_id,nombre_employe,nombre_chomeur
1982,pop_1,cat_1,102,1
1983,pop_1,cat_1,107,0
1984,pop_1,cat_1,115,1
1985,pop_1,cat_1,104,1
1986,pop_1,cat_1,95,0
1987,pop_1,cat_1,97,1
1988,pop_1,cat_1,85,2
1989,pop_1,cat_1,70,0
1990,pop_1,cat_1,61,0
1991,pop_1,cat_1,56,1
1992,pop_1,cat_1,44,0
1993,pop_1,cat_1,36,0
1994,pop_1,cat_1,38,0
1995,pop_1,cat_1,34,0
1996,pop_1,cat_1,31,0
1997,pop_1,cat_1,31,0
1998,pop_1,cat_1,21,0
1999,pop_1,cat_1,23,0
2000,pop_1,cat_1,21,0
2001,pop_1,cat_1,18,0
2002,pop_1,cat_1,16,0
2003,pop_1,cat_1,20,0
2004,pop_1,cat_1,12,0
2005,pop_1,cat_1,13,0
2006,pop_1,cat_1,11,0
2007,pop_1,cat_1,11,0
2008,pop_1,cat_1,12,0
2009,pop_1,cat_1,12,0
2010,pop_1,cat_1,14,0
2011,pop_1,cat_1,9,0
2012,pop_1,cat_1,12,0
2013,pop_1,cat_1,9,0
2014,pop_1,cat_1,5,1
2015,pop_1,cat_1,6,0
2016,pop_1,cat_1,8,0
2017,pop_1,cat_1,7,0
2018,pop_1,cat_1,7,0
2019,pop_1,cat_1,4,0
2020,pop_1,cat_1,8,0
1982,pop_2,cat_1,394,0
1983,pop_2,cat_1,377,2
1984,pop_2,cat_1,388,1
1985,pop_2,cat_1,381,2
1986,pop_2,cat_1,366,4
1987,pop_2,cat_1,370,2
1988,pop_2,cat_1,364,2
1989,pop_2,cat_1,372,5
1990,pop_2,cat_1,358,3
1991,pop_2,cat_1,350,4
1992,pop_2,cat_1,340,2
1993,pop_2,cat_1,304,3
1994,pop_2,cat_1,294,1
1995,pop_2,cat_1,290,2
1996,pop_2,cat_1,279,1
1997,pop_2,cat_1,277,2
1998,pop_2,cat_1,267,2
1999,pop_2,cat_1,261,1
2000,pop_2,cat_1,244,1
2001,pop_2,cat_1,231,1
2002,pop_2,cat_1,233,0
2003,pop_2,cat_1,288,0
2004,pop_2,cat_1,244,1
2005,pop_2,cat_1,257,1
2006,pop_2,cat_1,286,3
2007,pop_2,cat_1,229,1
2008,pop_2,cat_1,194,0
2009,pop_2,cat_1,216,2
2010,pop_2,cat_1,213,1
2011,pop_2,cat_1,206,1
2012,pop_2,cat_1,193,0
2013,pop_2,cat_1,197,2
2014,pop_2,cat_1,170,1
2015,pop_2,cat_1,161,1
2016,pop_2,cat_1,162,1
2017,pop_2,cat_1,143,2
2018,pop_2,cat_1,131,2
2019,pop_2,cat_1,135,0
2020,pop_2,cat_1,126,0
1982,pop_3,cat_1,492,1
1983,pop_3,cat_1,492,0
1984,pop_3,cat_1,506,0
1985,pop_3,cat_1,477,1
1986,pop_3,cat_1,448,1
1987,pop_3,cat_1,443,0
1988,pop_3,cat_1,410,1
1989,pop_3,cat_1,384,0
1990,pop_3,cat_1,337,1
1991,pop_3,cat_1,297,1
1992,pop_3,cat_1,267,0
1993,pop_3,cat_1,227,0
1994,pop_3,cat_1,206,0
1995,pop_3,cat_1,176,0
1996,pop_3,cat_1,175,0
1997,pop_3,cat_1,155,1
1998,pop_3,cat_1,150,1
1999,pop_3,cat_1,146,1
2000,pop_3,cat_1,147,0
2001,pop_3,cat_1,153,0
2002,pop_3,cat_1,174,0
2003,pop_3,cat_1,198,0
2004,pop_3,cat_1,180,1
2005,pop_3,cat_1,170,1
2006,pop_3,cat_1,170,0
2007,pop_3,cat_1,152,0
2008,pop_3,cat_1,137,0
2009,pop_3,cat_1,151,1
2010,pop_3,cat_1,157,1
2011,pop_3,cat_1,166,0
2012,pop_3,cat_1,170,1
2013,pop_3,cat_1,183,1
2014,pop_3,cat_1,183,1
2015,pop_3,cat_1,178,1
2016,pop_3,cat_1,181,1
2017,pop_3,cat_1,169,1
2018,pop_3,cat_1,167,1
2019,pop_3,cat_1,156,2
2020,pop_3,cat_1,137,1
1982,pop_4,cat_1,15,1
1983,pop_4,cat_1,15,0
1984,pop_4,cat_1,13,0
1985,pop_4,cat_1,13,0
1986,pop_4,cat_1,13,1
1987,pop_4,cat_1,12,0
1988,pop_4,cat_1,10,0
1989,pop_4,cat_1,10,0
1990,pop_4,cat_1,6,0
1991,pop_4,cat_1,5,0
1992,pop_4,cat_1,5,0
1993,pop_4,cat_1,7,0
1994,pop_4,cat_1,3,0
1995,pop_4,cat_1,3,0
1996,pop_4,cat_1,3,0
1997,pop_4,cat_1,2,0
1998,pop_4,cat_1,2,0
1999,pop_4,cat_1,2,0
2000,pop_4,cat_1,2,0
2001,pop_4,cat_1,2,0
2002,pop_4,cat_1,1,0
2003,pop_4,cat_1,0,0
2004,pop_4,cat_1,1,0
2005,pop_4,cat_1,1,0
2006,pop_4,cat_1,1,0
2007,pop_4,cat_1,1,0
2008,pop_4,cat_1,1,0
2009,pop_4,cat_1,1,0
2010,pop_4,cat_1,1,0
2011,pop_4,cat_1,1,0
2012,pop_4,cat_1,0,0
2013,pop_4,cat_1,1,0
2014,pop_4,cat_1,2,0
2015,pop_4,cat_1,1,0
2016,pop_4,cat_1,2,0
2017,pop_4,cat_1,2,0
2018,pop_4,cat_1,1,0
2019,pop_4,cat_1,0,0
2020,pop_4,cat_1,0,0
1982,pop_5,cat_1,329,1
1983,pop_5,cat_1,312,1
1984,pop_5,cat_1,322,1
1985,pop_5,cat_1,307,2
1986,pop_5,cat_1,279,2
1987,pop_5,cat_1,257,2
