année,pop_id,cha_id,nombre_employe
1990,pop_1,cha_1,8
1991,pop_1,cha_1,0
1992,pop_1,cha_1,0
1993,pop_1,cha_1,20
1994,pop_1,cha_1,20
1995,pop_1,cha_1,21
1996,pop_1,cha_1,17
1997,pop_1,cha_1,24
1998,pop_1,cha_1,29
1999,pop_1,cha_1,14
2000,pop_1,cha_1,12
2001,pop_1,cha_1,5
2002,pop_1,cha_1,11
2003,pop_1,cha_1,14
2004,pop_1,cha_1,17
2005,pop_1,cha_1,16
2006,pop_1,cha_1,16
2007,pop_1,cha_1,18
2008,pop_1,cha_1,18
2009,pop_1,cha_1,22
2010,pop_1,cha_1,20
2011,pop_1,cha_1,24
2012,pop_1,cha_1,22
2013,pop_1,cha_1,23
2014,pop_1,cha_1,26
2015,pop_1,cha_1,25
2016,pop_1,cha_1,19
2017,pop_1,cha_1,24
2018,pop_1,cha_1,20
2019,pop_1,cha_1,12
2020,pop_1,cha_1,10
1990,pop_2,cha_1,0
1991,pop_2,cha_1,0
1992,pop_2,cha_1,13
1993,pop_2,cha_1,35
1994,pop_2,cha_1,57
1995,pop_2,cha_1,72
1996,pop_2,cha_1,77
1997,pop_2,cha_1,82
1998,pop_2,cha_1,81
1999,pop_2,cha_1,77
2000,pop_2,cha_1,69
2001,pop_2,cha_1,54
2002,pop_2,cha_1,42
2003,pop_2,cha_1,39
2004,pop_2,cha_1,46
2005,pop_2,cha_1,46
2006,pop_2,cha_1,48
2007,pop_2,cha_1,47
2008,pop_2,cha_1,42
2009,pop_2,cha_1,56
2010,pop_2,cha_1,64
2011,pop_2,cha_1,57
2012,pop_2,cha_1,61
2013,pop_2,cha_1,68
2014,pop_2,cha_1,69
2015,pop_2,cha_1,83
2016,pop_2,cha_1,77
2017,pop_2,cha_1,55
2018,pop_2,cha_1,56
2019,pop_2,cha_1,47
2020,pop_2,cha_1,30
1990,pop_3,cha_1,7
1991,pop_3,cha_1,7
1992,pop_3,cha_1,9
1993,pop_3,cha_1,12
1994,pop_3,cha_1,10
1995,pop_3,cha_1,12
1996,pop_3,cha_1,14
1997,pop_3,cha_1,15
1998,pop_3,cha_1,23
1999,pop_3,cha_1,20
2000,pop_3,cha_1,26
2001,pop_3,cha_1,19
2002,pop_3,cha_1,14
2003,pop_3,cha_1,10
2004,pop_3,cha_1,8
2005,pop_3,cha_1,8
2006,pop_3,cha_1,13
2007,pop_3,cha_1,14
2008,pop_3,cha_1,20
2009,pop_3,cha_1,14
2010,pop_3,cha_1,20
2011,pop_3,cha_1,23
2012,pop_3,cha_1,25
2013,pop_3,cha_1,21
2014,pop_3,cha_1,20
2015,pop_3,cha_1,26
2016,pop_3,cha_1,30
2017,pop_3,cha_1,22
2018,pop_3,cha_1,20
2019,pop_3,cha_1,15
2020,pop_3,cha_1,13
1990,pop_4,cha_1,75
1991,pop_4,cha_1,48
1992,pop_4,cha_1,56
1993,pop_4,cha_1,76
1994,pop_4,cha_1,78
1995,pop_4,cha_1,85
1996,pop_4,cha_1,84
1997,pop_4,cha_1,76
1998,pop_4,cha_1,95
1999,pop_4,cha_1,76
2000,pop_4,cha_1,61
2001,pop_4,cha_1,47
2002,pop_4,cha_1,42
2003,pop_4,cha_1,36
2004,pop_4,cha_1,38
2005,pop_4,cha_1,38
2006,pop_4,cha_1,45
2007,pop_4,cha_1,48
2008,pop_4,cha_1,46
2009,pop_4,cha_1,50
2010,pop_4,cha_1,41
2011,pop_4,cha_1,54
2012,pop_4,cha_1,48
2013,pop_4,cha_1,45
2014,pop_4,cha_1,40
2015,pop_4,cha_1,43
2016,pop_4,cha_1,40
2017,pop_4,cha_1,32
2018,pop_4,cha_1,39
2019,pop_4,cha_1,25
2020,pop_4,cha_1,23
1990,pop_5,cha_1,41
1991,pop_5,cha_1,39
1992,pop_5,cha_1,73
1993,pop_5,cha_1,117
1994,pop_5,cha_1,168
1995,pop_5,cha_1,173
1996,pop_5,cha_1,174
1997,pop_5,cha_1,204
1998,pop_5,cha_1,211
1999,pop_5,cha_1,189
2000,pop_5,cha_1,196
2001,pop_5,cha_1,152
2002,pop_5,cha_1,141
2003,pop_5,cha_1,129
2004,pop_5,cha_1,119
2005,pop_5,cha_1,118
2006,pop_5,cha_1,137
2007,pop_5,cha_1,157
2008,pop_5,cha_1,166
2009,pop_5,cha_1,175
2010,pop_5,cha_1,176
2011,pop_5,cha_1,167
2012,pop_5,cha_1,175
2013,pop_5,cha_1,166
2014,pop_5,cha_1,155
2015,pop_5,cha_1,151
2016,pop_5,cha_1,150
2017,pop_5,cha_1,139
2018,pop_5,cha_1,130
2019,pop_5,cha_1,116
2020,pop_5,cha_1,94
1990,pop_6,cha_1,0
1991,pop_6,cha_1,0
1992,pop_6,cha_1,0
1993,pop_6,cha_1,5
1994,pop_6,cha_1,6
1995,pop_6,cha_1,5
1996,pop_6,cha_1,13
1997,pop_6,cha_1,15
1998,pop_6,cha_1,18
1999,pop_6,cha_1,21
2000,pop_6,cha_1,19
2001,pop_6,cha_1,19
2002,pop_6,cha_1,19
2003,pop_6,cha_1,23
2004,pop_6,cha_1,34
2005,pop_6,cha_1,28
2006,pop_6,cha_1,28
2007,pop_6,cha_1,36
2008,pop_6,cha_1,37
2009,pop_6,cha_1,50
2010,pop_6,cha_1,51
2011,pop_6,cha_1,48
2012,pop_6,cha_1,56
2013,pop_6,cha_1,53
2014,pop_6,cha_1,60
2015,pop_6,cha_1,63
2016,pop_6,cha_1,61
2017,pop_6,cha_1,56
2018,pop_6,cha_1,50
2019,pop_6,cha_1,48
2020,pop_6,cha_1,36
1990,pop_1,cha_2,43
1991,pop_1,cha_2,45
1992,pop_1,cha_2,44
1993,pop_1,cha_2,45
1994,pop_1,cha_2,49
1995,pop_1,cha_2,56
1996,pop_1,cha_2,51
1997,pop_1,cha_2,53
1998,pop_1,cha_2,49
1999,pop_1,cha_2,53
2000,pop_1,cha_2,50
2001,pop_1,cha_2,45
2002,pop_1,cha_2,42
2003,pop_1,cha_2,43
2004,pop_1,cha_2,46
2005,pop_1,cha_2,43
2006,pop_1,cha_2,39
2007,pop_1,cha_2,46
2008,pop_1,cha_2,43
2009,pop_1,cha_2,46
2010,pop_1,cha_2,63
2011,pop_1,cha_2,57
2012,pop_1,cha_2,52
2013,pop_1,cha_2,57
2014,pop_1,cha_2,60
2015,pop_1,cha_2,64
2016,pop_1,cha_2,67
2017,pop_1,cha_2,75
2018,pop_1,cha_2,65
2019,pop_1,cha_2,61
2020,pop_1,cha_2,57
1990,pop_2,cha_2,44
1991,pop_2,cha_2,50
1992,pop_2,cha_2,51
1993,pop_2,cha_2,67
1994,pop_2,cha_2,81
1995,pop_2,cha_2,108
1996,pop_2,cha_2,120
1997,pop_2,cha_2,122
1998,pop_2,cha_2,134
1999,pop_2,cha_2,114
2000,pop_2,cha_2,127
2001,pop_2,cha_2,102
2002,pop_2,cha_2,97
2003,pop_2,cha_2,102
2004,pop_2,cha_2,115
2005,pop_2,cha_2,121
2006,pop_2,cha_2,133
2007,pop_2,cha_2,132
2008,pop_2,cha_2,141
2009,pop_2,cha_2,129
2010,pop_2,cha_2,151
2011,pop_2,cha_2,150
2012,pop_2,cha_2,156
2013,pop_2,cha_2,168
2014,pop_2,cha_2,183
2015,pop_2,cha_2,195
2016,pop_2,cha_2,189
2017,pop_2,cha_2,186
2018,pop_2,cha_2,176
