année,pop_id,dip_id,nombre_employe,nombre_chomeur
1982,pop_1,dip_1,27,3
1983,pop_1,dip_1,27,2
1984,pop_1,dip_1,28,2
1985,pop_1,dip_1,18,3
1986,pop_1,dip_1,27,2
1987,pop_1,dip_1,21,2
1988,pop_1,dip_1,28,4
1989,pop_1,dip_1,28,2
1990,pop_1,dip_1,36,3
1991,pop_1,dip_1,31,4
1992,pop_1,dip_1,45,6
1993,pop_1,dip_1,46,7
1994,pop_1,dip_1,53,10
1995,pop_1,dip_1,54,14
1996,pop_1,dip_1,53,15
1997,pop_1,dip_1,55,14
1998,pop_1,dip_1,47,11
1999,pop_1,dip_1,52,10
2000,pop_1,dip_1,49,12
2001,pop_1,dip_1,53,7
2002,pop_1,dip_1,54,19
2003,pop_1,dip_1,60,18
2004,pop_1,dip_1,62,16
2005,pop_1,dip_1,75,17
2006,pop_1,dip_1,78,16
2007,pop_1,dip_1,77,15
2008,pop_1,dip_1,86,12
2009,pop_1,dip_1,80,13
2010,pop_1,dip_1,97,18
2011,pop_1,dip_1,98,14
2012,pop_1,dip_1,104,19
2013,pop_1,dip_1,111,20
2014,pop_1,dip_1,116,19
2015,pop_1,dip_1,126,26
2016,pop_1,dip_1,115,25
2017,pop_1,dip_1,131,18
2018,pop_1,dip_1,143,18
2019,pop_1,dip_1,151,23
2020,pop_1,dip_1,161,29
1982,pop_2,dip_1,716,28
1983,pop_2,dip_1,803,26
1984,pop_2,dip_1,832,29
1985,pop_2,dip_1,827,37
1986,pop_2,dip_1,852,33
1987,pop_2,dip_1,895,31
1988,pop_2,dip_1,949,34
1989,pop_2,dip_1,953,22
1990,pop_2,dip_1,987,24
1991,pop_2,dip_1,1006,33
1992,pop_2,dip_1,1029,43
1993,pop_2,dip_1,1097,70
1994,pop_2,dip_1,1134,75
1995,pop_2,dip_1,1154,81
1996,pop_2,dip_1,1163,75
1997,pop_2,dip_1,1192,87
1998,pop_2,dip_1,1219,72
1999,pop_2,dip_1,1262,72
2000,pop_2,dip_1,1297,66
2001,pop_2,dip_1,1327,66
